station_code,station_name,lat,lon,source,comment
SW7,Tongkang,1.3893387809146653,103.88593735859335,ura,
SW8,Renjong,1.3867475129068825,103.89042878850033,ura,
TE1,Woodlands North,1.448392319968309,103.78596634244951,ura,
TE2,Woodlands,1.436448687872568,103.78705527389394,ura,
TE3,Woodlands South,1.4271151532156638,103.79389794677142,ura,
TE4,Springleaf,1.398140978256675,103.817921140757,ura,
TE5,Lentor,1.3849445080193759,103.83633988787422,ura,
TE6,Mayflower,1.3721081386146197,103.83678152029555,ura,
TE7,Bright Hill,1.3632817842745766,103.83447249683356,ura,
TE8,Upper Thomson,1.3544290003129547,103.83285966545392,ura,
TE9,Caldecott,1.3375387677791497,103.83986538570805,ura,
TE11,Stevens,1.3199006799927198,103.82583341635527,ura,
TE12,Napier,1.3066656512811499,103.81908277343493,ura,
TE13,Orchard Boulevard,1.3026661094847591,103.8238476357721,ura,
TE14,Orchard,1.303444646304231,103.83187416773077,ura,
TE15,Great World,1.2944678378851269,103.83342645789939,ura,
TE16,Havelock,1.2884419658075472,103.83358978009632,ura,
TE17,Outram Park,1.2808389346699285,103.83925001411495,ura,
TE18,Maxwell,1.2805964098154925,103.84392436857507,ura,
TE19,Shenton Way,1.2775905171046742,103.85067510451763,ura,
TE20,Marina Bay,1.2758094294533002,103.85498166544687,ura,
TE22,Gardens by the Bay,1.2792004698563675,103.8679548831892,ura,
TE23,Tanjong Rhu,1.2972452874437077,103.87345501889277,ura,
TE24,Katong Park,1.2978010415628742,103.88623636531406,ura,
TE25,Tanjong Katong,1.2993705596361003,103.89744885045332,ura,
TE26,Marine Parade,1.302865993021082,103.90550807454038,ura,
TE27,Marine Terrace,1.306767424002779,103.91526558461837,ura,
TE28,Siglap,1.3098814892597002,103.9299170480523,ura,
TE29,Bayshore,1.3129364944627582,103.94184163653021,ura,
